site,pillar,indicator,raw_value,bg_median,anomaly,bg_std,bg_std_spatial,bg_std_temporal,z,score,confidence,qa,n_valid,anomaly_strength,spatial_context,extra_note
Norilsk Nickel — Nadezhda smelter,ghg,ghg.co2,6130.63635364318,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,"context — not scored; rel_intensity=10.0 (cap 10), total_tCO2yr=1350278.6673177083"
Norilsk Nickel — Nadezhda smelter,ghg,ghg.viirs,11.02388888612108,,,,,,,1.0,0.925,0.85,0.9,1.0,1.0,"flaring_frac=0.16598366934248424, lit_contrast_pct=0.9741387318834906, state=high"
Escondida copper mine,air,air.no2,79.20842055070818,57.38254525964615,21.825875291062033,17.037111567000714,14.62428228022306,17.037111567000714,1.2810783802893388,0.4270261267631129,0.760121794871795,0.9,1.0,0.32051282051282054,1.0,
Escondida copper mine,air,air.so2,30.323869015291013,39.03455510913455,-8.710686093843538,108.457409386413,45.524386443144415,108.45740938641302,-0.0803143477529417,0.0,0.6254285714285713,0.75,1.0,0.14285714285714285,1.0,
Escondida copper mine,air,air.co,14.998737414150023,14.867810917078282,0.13092649707174076,2.0805986964421757,0.5965447795919886,2.0805986964421757,0.06292731861056391,0.020975772870187974,0.5759047619047618,0.85,1.0,0.05952380952380952,1.0,
Escondida copper mine,air,air.hcho,64.35767928444666,55.756829639086604,8.600849645360057,41.62808541779352,12.782912865380414,41.62808541779352,0.2066117035899928,0.06887056786333094,0.7065059523809523,0.85,1.0,0.15476190476190477,1.0,
Escondida copper mine,air,air.pm25,,,,,,,,,,,,,,
Escondida copper mine,air,air.pm10,,,,,,,,,,,,,,
Escondida copper mine,air,air.o3,255.88518924105102,255.97700021276125,-0.09181097171023112,3.959380694142632,0.4376530863136184,3.959380694142632,-0.023188215229228405,0.0,0.7436904761904761,0.85,1.0,0.15476190476190477,1.0,
Escondida copper mine,air,air.aai,1.702732826057323,1.0116226305353098,0.6911101955220131,0.6549920251373975,0.25347289350879704,0.6549920251373975,1.0551429162470172,0.3517143054156724,0.7255882352941176,0.85,1.0,0.08235294117647059,1.0,
Escondida copper mine,air,air.aod,82.42701209034554,93.5692681795597,-11.142256089214158,87.79909108574081,18.036871153986585,87.79909108574081,-0.12690628059387438,0.0,0.7200000000000001,0.9,1.0,0.0,1.0,
Escondida copper mine,ghg,ghg.ch4,1885.9747801927174,1880.2706963568435,5.7040838358739165,6.540427496352382,15.737689319424337,6.540427496352382,0.872127064944165,0.29070902164805507,0.37241931637507825,0.85,0.07407407407407407,0.5,0.4220128216441705,context — not scored (M-CH4-A1 reference)
Escondida copper mine,ghg,ghg.co2,2304.6415487025106,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,"context — not scored; rel_intensity=10.0 (cap 10), total_tCO2yr=196509.10271936742"
Escondida copper mine,ghg,ghg.viirs,5.4059399893011015,,,,,,,0.2522155404336129,0.7380538851084033,0.85,0.9,0.2522155404336129,1.0,"flaring_frac=0.02522155404336129, lit_contrast_pct=0.9597706477778677, state=high"
Comodoro Rivadavia oil & gas,air,air.no2,53.991026004862775,51.531863072227054,2.4591629326357207,6.798534848746458,1.644421858548096,6.798534848746458,0.36171954507067816,0.12057318169022604,0.7183750000000001,0.9,1.0,0.14473684210526316,1.0,
Comodoro Rivadavia oil & gas,air,air.so2,53.43977805311955,35.11536674295614,18.324411310163406,129.7855616176393,77.52362682199725,129.7855616176393,0.1411899065024573,0.04706330216748577,0.6175714285714285,0.75,1.0,0.10714285714285714,1.0,
Comodoro Rivadavia oil & gas,air,air.co,16.387903772355532,15.883894951200668,0.5040088211548639,2.5802665860743437,0.467926691711144,2.5802665860743437,0.1953320730016779,0.0651106910005593,0.5738360655737704,0.85,1.0,0.04918032786885246,1.0,
Comodoro Rivadavia oil & gas,air,air.hcho,53.87865250841009,58.79156465105499,-4.912912142644899,82.49924452211066,16.297130663807103,82.49924452211066,-0.059550995540670525,0.0,0.6802279411764705,0.85,1.0,0.04411764705882353,1.0,
Comodoro Rivadavia oil & gas,air,air.pm25,,,,,,,,,,,,,,
Comodoro Rivadavia oil & gas,air,air.pm10,,,,,,,,,,,,,,
Comodoro Rivadavia oil & gas,air,air.o3,288.04626450486285,287.4715887007681,0.5746758040947384,18.614862172800265,0.33571245548559914,18.614862172800265,0.030871880691893887,0.010290626897297962,0.7228571428571429,0.85,1.0,0.07142857142857142,1.0,
Comodoro Rivadavia oil & gas,air,air.aai,0.1097796886462417,0.1357436900311167,-0.025964001384874993,0.6294275655803971,0.07063078344346761,0.6294275655803971,-0.041250181601013146,0.0,0.705,0.85,1.0,0.0,1.0,
Comodoro Rivadavia oil & gas,air,air.aod,55.2889007335969,30.743476020210824,24.545424713386073,52.92564177371252,10.600245663537088,52.92564177371252,0.46377188619330956,0.15459062873110319,0.7646428571428572,0.9,1.0,0.17857142857142858,1.0,
Comodoro Rivadavia oil & gas,ghg,ghg.ch4,1828.6777839650858,1839.7283286290053,-11.050544663919482,24.60571240632679,8.988649018132882,24.60571240632679,-0.44910484530730715,0.0,0.4413082052639672,0.85,0.7777777777777778,0.0,0.4220128216441705,context — not scored (M-CH4-A1 reference)
Comodoro Rivadavia oil & gas,ghg,ghg.co2,8399.888981149646,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,"context — not scored; rel_intensity=10.0 (cap 10), total_tCO2yr=937822.8991895313"
Comodoro Rivadavia oil & gas,ghg,ghg.viirs,24.450966054594385,,,,,,,1.0,0.925,0.85,0.9,1.0,1.0,"flaring_frac=0.17966636950182077, lit_contrast_pct=0.943185647735157, state=high"
Jamnagar refinery,air,air.no2,99.7631250264154,80.69533089162152,19.06779413479387,75.4301179165068,18.481061401160183,75.4301179165068,0.2527875424495546,0.08426251414985153,0.6869320987654322,0.9,1.0,0.012345679012345678,1.0,
Jamnagar refinery,air,air.so2,39.257199472623036,45.43492365751891,-6.177724184895872,299.0890946128025,31.304674239270113,299.0890946128025,-0.020655130180836204,0.0,0.594,0.75,1.0,0.0,1.0,
Jamnagar refinery,air,air.co,32.20700517168555,32.26062124530409,-0.053616073618535154,4.15934483901214,0.524639248601045,4.15934483901214,-0.012890509369564361,0.0,0.564,0.85,1.0,0.0,1.0,
Jamnagar refinery,air,air.hcho,114.81025994251077,123.29398889422521,-8.48372895171444,89.55041923084423,18.049039067215652,89.55041923084423,-0.09473689821423363,0.0,0.6725116279069767,0.85,1.0,0.011627906976744186,1.0,
Jamnagar refinery,air,air.pm25,,,,,,,,,,,,,,
Jamnagar refinery,air,air.pm10,,,,,,,,,,,,,,
Jamnagar refinery,air,air.o3,287.2071761020779,287.0671349652111,0.14004113686678465,12.671052153216971,0.27776181782423237,12.671052153216971,0.011052052755637228,0.0036840175852124093,0.705,0.85,1.0,0.0,1.0,
