site,site_kind,lat,lon,pillar,indicator,native_scale_m,window,bg_median,bg_std,cv,n_valid_days,n_hot_days,hf,max_day_z,error
beijing_2021_ctrl,control,39.9,116.4,air,aod,1000.0,2021-02-01/2021-03-03,372.83982429010524,31.737630036449726,0.08512403442115882,24.0,5.0,0.20833333333333334,29.715641143958663,
beijing_2021_ctrl,control,39.9,116.4,ghg,ch4,1113.2,2021-02-01/2021-03-03,1848.5924072257808,0.0,0.0,0.0,0.0,,,
beijing_2021_ctrl,control,39.9,116.4,ghg,viirs,463.83,2021-02-01/2021-03-03,28.980138936954727,20.04050518025292,0.6915255038580158,30.0,1.0,0.03333333333333333,2.316090955569127,
phoenix_2021_ctrl,control,33.4,-112.0,air,no2,1113.2,2021-06-01/2021-07-01,111.34036968023734,14.976665909487984,0.13451244999904385,29.0,8.0,0.27586206896551724,5.575147795528351,
phoenix_2021_ctrl,control,33.4,-112.0,air,so2,1113.2,2021-06-01/2021-07-01,98.15232643969796,90.06783628380106,0.9176332293981458,28.0,5.0,0.17857142857142858,4.5005558962898204,
phoenix_2021_ctrl,control,33.4,-112.0,air,co,1113.2,2021-06-01/2021-07-01,31.419998738117314,0.7176705329072699,0.02284120183737069,26.0,5.0,0.19230769230769232,24.991771860503047,
phoenix_2021_ctrl,control,33.4,-112.0,air,hcho,1113.2,2021-06-01/2021-07-01,223.51764589637034,24.8789478621459,0.11130641503660317,27.0,9.0,0.3333333333333333,6.73305718800328,
phoenix_2021_ctrl,control,33.4,-112.0,air,o3,1113.2,2021-06-01/2021-07-01,303.274001813429,0.35881230825642524,0.001183129137713436,29.0,12.0,0.41379310344827586,137.10757865178937,
phoenix_2021_ctrl,control,33.4,-112.0,air,aai,1113.2,2021-06-01/2021-07-01,-0.7012479503119317,0.12507027803340262,0.17835385897066566,29.0,11.0,0.3793103448275862,14.4106956621273,
phoenix_2021_ctrl,control,33.4,-112.0,air,pm25,44544.0,2021-06-01/2021-07-01,7.514904022216797,0.9088364593983762,0.12093786649989463,30.0,29.0,0.9666666666666667,7.490589239665689,
phoenix_2021_ctrl,control,33.4,-112.0,air,pm10,44544.0,2021-06-01/2021-07-01,,,,,,,,"EEException: reduce.mean: Error in map(ID=20210527T12F117):
Image.select:"
phoenix_2021_ctrl,control,33.4,-112.0,air,aod,1000.0,2021-06-01/2021-07-01,174.462241941325,26.635992391004358,0.15267482576523667,28.0,9.0,0.32142857142857145,19.44661789661369,
phoenix_2021_ctrl,control,33.4,-112.0,ghg,ch4,1113.2,2021-06-01/2021-07-01,1871.0816174778215,14.184060731750058,0.007580674514279005,2.0,0.0,0.0,0.5932051069832739,
phoenix_2021_ctrl,control,33.4,-112.0,ghg,viirs,463.83,2021-06-01/2021-07-01,27.024843876681196,29.574557196436636,1.0943470138584408,30.0,0.0,0.0,1.4453479805308562,
ocean_pacific,fresh,0.0,-140.0,air,no2,1113.2,2023-07-01/2023-07-31,,,,,,,,BackgroundRingNoDataError
ocean_pacific,fresh,0.0,-140.0,air,so2,1113.2,2023-07-01/2023-07-31,,,,,,,,BackgroundRingNoDataError
ocean_pacific,fresh,0.0,-140.0,air,co,1113.2,2023-07-01/2023-07-31,,,,,,,,BackgroundRingNoDataError
ocean_pacific,fresh,0.0,-140.0,air,hcho,1113.2,2023-07-01/2023-07-31,,,,,,,,BackgroundRingNoDataError
ocean_pacific,fresh,0.0,-140.0,air,o3,1113.2,2023-07-01/2023-07-31,,,,,,,,BackgroundRingNoDataError
ocean_pacific,fresh,0.0,-140.0,air,aai,1113.2,2023-07-01/2023-07-31,,,,,,,,BackgroundRingNoDataError
ocean_pacific,fresh,0.0,-140.0,air,pm25,44544.0,2023-07-01/2023-07-31,,,,,,,,BackgroundRingNoDataError
ocean_pacific,fresh,0.0,-140.0,air,pm10,44544.0,2023-07-01/2023-07-31,,,,,,,,BackgroundRingNoDataError
ocean_pacific,fresh,0.0,-140.0,air,aod,1000.0,2023-07-01/2023-07-31,,,,,,,,BackgroundRingNoDataError
ocean_pacific,fresh,0.0,-140.0,ghg,ch4,1113.2,2023-07-01/2023-07-31,,,,,,,,BackgroundRingNoDataError
ocean_pacific,fresh,0.0,-140.0,ghg,viirs,463.83,2023-07-01/2023-07-31,,,,,,,,BackgroundRingNoDataError
desert_sahara,fresh,23.0,13.0,air,no2,1113.2,2023-07-01/2023-07-31,64.11186436710803,0.9414711476276978,0.014684819368795498,26.0,6.0,0.23076923076923078,8.407206786675868,
desert_sahara,fresh,23.0,13.0,air,so2,1113.2,2023-07-01/2023-07-31,57.06477191133562,52.715603061656644,0.9237853985215871,30.0,10.0,0.3333333333333333,5.075269479019002,
desert_sahara,fresh,23.0,13.0,air,co,1113.2,2023-07-01/2023-07-31,28.39461773424473,0.3437658724316164,0.01210672655110355,26.0,13.0,0.5,16.256772514597024,
desert_sahara,fresh,23.0,13.0,air,hcho,1113.2,2023-07-01/2023-07-31,82.22123661167595,16.59670565263153,0.2018542451631613,30.0,5.0,0.16666666666666666,5.35967720113564,
desert_sahara,fresh,23.0,13.0,air,o3,1113.2,2023-07-01/2023-07-31,290.33682859906236,0.36809884539331184,0.0012678338024475501,30.0,12.0,0.4,26.11851108298,
desert_sahara,fresh,23.0,13.0,air,aai,1113.2,2023-07-01/2023-07-31,0.9197046958017493,0.10326129066828461,0.11227657218632221,30.0,10.0,0.3333333333333333,5.72191736771461,
desert_sahara,fresh,23.0,13.0,air,pm25,44544.0,2023-07-01/2023-07-31,19.409210205078125,0.35120161277242684,0.018094585460285254,30.0,29.0,0.9666666666666667,30.131898901293972,
desert_sahara,fresh,23.0,13.0,air,pm10,44544.0,2023-07-01/2023-07-31,156.06483459472656,1.6137477943446854,0.010340239673692731,30.0,29.0,0.9666666666666667,69.71563189924163,
desert_sahara,fresh,23.0,13.0,air,aod,1000.0,2023-07-01/2023-07-31,105.70741561945106,10.676632226796348,0.10100173355133808,30.0,17.0,0.5666666666666667,13.57650348418024,
desert_sahara,fresh,23.0,13.0,ghg,ch4,1113.2,2023-07-01/2023-07-31,1905.2991191676745,4.6598057482662565,0.0024457082362489527,19.0,3.0,0.15789473684210525,3.516286029680316,
desert_sahara,fresh,23.0,13.0,ghg,viirs,463.83,2023-07-01/2023-07-31,0.29976585422445245,0.04249213138644051,0.14175107267095247,28.0,8.0,0.2857142857142857,12.712807254608961,
forest_amazon,fresh,-10.0,-60.0,air,no2,1113.2,2023-07-01/2023-07-31,45.02257465739698,2.89766571867938,0.06436028460676467,30.0,4.0,0.13333333333333333,9.817379655147846,
forest_amazon,fresh,-10.0,-60.0,air,so2,1113.2,2023-07-01/2023-07-31,-58.21160560543842,90.21767882745486,1.549822889939773,29.0,6.0,0.20689655172413793,8.278631725483656,
forest_amazon,fresh,-10.0,-60.0,air,co,1113.2,2023-07-01/2023-07-31,28.705587036509975,0.8883753357577822,0.030947819831305942,28.0,6.0,0.21428571428571427,6.259369942211569,
forest_amazon,fresh,-10.0,-60.0,air,hcho,1113.2,2023-07-01/2023-07-31,192.4368757963947,26.92551218893927,0.13991867243483755,30.0,5.0,0.16666666666666666,7.91494764780258,
forest_amazon,fresh,-10.0,-60.0,air,o3,1113.2,2023-07-01/2023-07-31,260.8979184455451,0.43478286686306167,0.00166648653026264,30.0,12.0,0.4,19.721594182063082,
forest_amazon,fresh,-10.0,-60.0,air,aai,1113.2,2023-07-01/2023-07-31,-0.27641794155123983,0.08306735411264063,0.30051361227303824,30.0,10.0,0.3333333333333333,10.677877934605288,
forest_amazon,fresh,-10.0,-60.0,air,pm25,44544.0,2023-07-01/2023-07-31,8.438371658325195,0.37424285899574306,0.04435012750671151,30.0,30.0,1.0,10.45642179656903,
forest_amazon,fresh,-10.0,-60.0,air,pm10,44544.0,2023-07-01/2023-07-31,12.12946605682373,0.5344160340507753,0.04405932062855532,30.0,30.0,1.0,10.403520651081042,
forest_amazon,fresh,-10.0,-60.0,air,aod,1000.0,2023-07-01/2023-07-31,47.353645159391746,7.003894602074092,0.14790613433240618,28.0,14.0,0.5,10.985247333905876,
forest_amazon,fresh,-10.0,-60.0,ghg,ch4,1113.2,2023-07-01/2023-07-31,1877.6074499787908,11.624156285305162,0.0061909406491950526,10.0,4.0,0.4,3.5065857280256427,
forest_amazon,fresh,-10.0,-60.0,ghg,viirs,463.83,2023-07-01/2023-07-31,0.1913859465478069,19.761704811420838,103.25577801233435,28.0,0.0,0.0,1.5845740897412004,
